model,model_type,pretrained_model_name,sweep,value,max_length,batch_size,eval_batch_size,epochs,patience,learning_rate,dropout,intent_loss_weight,slot_loss_weight,warmup_ratio,weight_decay,runs,seeds,dev_slot_f1_mean,dev_slot_f1_std,dev_intent_accuracy_mean,dev_intent_accuracy_std,test_slot_f1_mean,test_slot_f1_std,test_intent_accuracy_mean,test_intent_accuracy_std,best_checkpoint_path
bert-base,bert,bert-base-uncased,weight_decay,0.1,128,64,128,100,3,3e-05,0.2,1.0,1.0,0.1,0.1,1,42,0.9864,0.0000,0.9900,0.0000,0.9592,0.0000,0.9776,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-base/weight_decay_0p1/seed_42/best_bert_bert-base-uncased.pt
bert-base,bert,bert-base-uncased,warmup_ratio,0.0,128,64,128,100,3,3e-05,0.2,1.0,1.0,0.0,0.01,1,42,0.9855,0.0000,0.9920,0.0000,0.9564,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-base/warmup_ratio_0p0/seed_42/best_bert_bert-base-uncased.pt
bert-base,bert,bert-base-uncased,warmup_ratio,0.06,128,64,128,100,3,3e-05,0.2,1.0,1.0,0.06,0.01,1,42,0.9817,0.0000,0.9920,0.0000,0.9504,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-base/warmup_ratio_0p06/seed_42/best_bert_bert-base-uncased.pt
bert-base,bert,bert-base-uncased,warmup_ratio,0.1,128,64,128,100,3,3e-05,0.2,1.0,1.0,0.1,0.01,1,42,0.9876,0.0000,0.9920,0.0000,0.9567,0.0000,0.9787,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-base/warmup_ratio_0p1/seed_42/best_bert_bert-base-uncased.pt
bert-base,bert,bert-base-uncased,slot_loss_weight,0.75,128,64,128,100,3,3e-05,0.2,1.0,0.75,0.1,0.01,1,42,0.9847,0.0000,0.9900,0.0000,0.9557,0.0000,0.9709,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-base/slot_loss_weight_0p75/seed_42/best_bert_bert-base-uncased.pt
bert-base,bert,bert-base-uncased,slot_loss_weight,1.0,128,64,128,100,3,3e-05,0.2,1.0,1.0,0.1,0.01,1,42,0.9876,0.0000,0.9920,0.0000,0.9567,0.0000,0.9787,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-base/slot_loss_weight_1p0/seed_42/best_bert_bert-base-uncased.pt
bert-base,bert,bert-base-uncased,slot_loss_weight,1.5,128,64,128,100,3,3e-05,0.2,1.0,1.5,0.1,0.01,1,42,0.9861,0.0000,0.9920,0.0000,0.9563,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-base/slot_loss_weight_1p5/seed_42/best_bert_bert-base-uncased.pt
bert-base,bert,bert-base-uncased,slot_loss_weight,2.0,128,64,128,100,3,3e-05,0.2,1.0,2.0,0.1,0.01,1,42,0.9852,0.0000,0.9940,0.0000,0.9550,0.0000,0.9776,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-base/slot_loss_weight_2p0/seed_42/best_bert_bert-base-uncased.pt
bert-base,bert,bert-base-uncased,max_length,64,64,64,128,100,3,3e-05,0.2,1.0,1.0,0.1,0.01,1,42,0.9876,0.0000,0.9920,0.0000,0.9567,0.0000,0.9787,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-base/max_length_64/seed_42/best_bert_bert-base-uncased.pt
bert-base,bert,bert-base-uncased,max_length,128,128,64,128,100,3,3e-05,0.2,1.0,1.0,0.1,0.01,1,42,0.9876,0.0000,0.9920,0.0000,0.9567,0.0000,0.9787,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-base/max_length_128/seed_42/best_bert_bert-base-uncased.pt
bert-large,bert,bert-large-uncased,learning_rate,1e-05,128,64,128,100,3,1e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9841,0.0000,0.9940,0.0000,0.9560,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/learning_rate_1em05/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,learning_rate,2e-05,128,64,128,100,3,2e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9852,0.0000,0.9920,0.0000,0.9566,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/learning_rate_2em05/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,learning_rate,3e-05,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9858,0.0000,0.9920,0.0000,0.9566,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/learning_rate_3em05/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,learning_rate,5e-05,128,64,128,100,3,5e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9846,0.0000,0.9920,0.0000,0.9592,0.0000,0.9765,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/learning_rate_5em05/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,dropout,0.0,128,64,128,100,3,3e-05,0.0,1.0,1.0,0.1,0.01,1,42,0.9841,0.0000,0.9920,0.0000,0.9594,0.0000,0.9765,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/dropout_0p0/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,dropout,0.1,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9858,0.0000,0.9920,0.0000,0.9566,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/dropout_0p1/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,dropout,0.2,128,64,128,100,3,3e-05,0.2,1.0,1.0,0.1,0.01,1,42,0.9838,0.0000,0.9920,0.0000,0.9566,0.0000,0.9765,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/dropout_0p2/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,dropout,0.3,128,64,128,100,3,3e-05,0.3,1.0,1.0,0.1,0.01,1,42,0.9870,0.0000,0.9900,0.0000,0.9592,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/dropout_0p3/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,weight_decay,0.0,128,64,128,100,3,3e-05,0.3,1.0,1.0,0.1,0.0,1,42,0.9838,0.0000,0.9920,0.0000,0.9568,0.0000,0.9709,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/weight_decay_0p0/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,weight_decay,0.01,128,64,128,100,3,3e-05,0.3,1.0,1.0,0.1,0.01,1,42,0.9870,0.0000,0.9900,0.0000,0.9592,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/weight_decay_0p01/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,weight_decay,0.05,128,64,128,100,3,3e-05,0.3,1.0,1.0,0.1,0.05,1,42,0.9873,0.0000,0.9880,0.0000,0.9584,0.0000,0.9754,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/weight_decay_0p05/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,weight_decay,0.1,128,64,128,100,3,3e-05,0.3,1.0,1.0,0.1,0.1,1,42,0.9847,0.0000,0.9920,0.0000,0.9587,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/weight_decay_0p1/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,warmup_ratio,0.0,128,64,128,100,3,3e-05,0.3,1.0,1.0,0.0,0.05,1,42,0.9844,0.0000,0.9940,0.0000,0.9592,0.0000,0.9754,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/warmup_ratio_0p0/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,warmup_ratio,0.06,128,64,128,100,3,3e-05,0.3,1.0,1.0,0.06,0.05,1,42,0.9858,0.0000,0.9920,0.0000,0.9567,0.0000,0.9754,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/warmup_ratio_0p06/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,warmup_ratio,0.1,128,64,128,100,3,3e-05,0.3,1.0,1.0,0.1,0.05,1,42,0.9873,0.0000,0.9880,0.0000,0.9584,0.0000,0.9754,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/warmup_ratio_0p1/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,slot_loss_weight,0.75,128,64,128,100,3,3e-05,0.3,1.0,0.75,0.1,0.05,1,42,0.9855,0.0000,0.9960,0.0000,0.9595,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/slot_loss_weight_0p75/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,slot_loss_weight,1.0,128,64,128,100,3,3e-05,0.3,1.0,1.0,0.1,0.05,1,42,0.9873,0.0000,0.9880,0.0000,0.9584,0.0000,0.9754,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/slot_loss_weight_1p0/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,slot_loss_weight,1.5,128,64,128,100,3,3e-05,0.3,1.0,1.5,0.1,0.05,1,42,0.9849,0.0000,0.9920,0.0000,0.9583,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/slot_loss_weight_1p5/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,slot_loss_weight,2.0,128,64,128,100,3,3e-05,0.3,1.0,2.0,0.1,0.05,1,42,0.9820,0.0000,0.9940,0.0000,0.9564,0.0000,0.9787,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/slot_loss_weight_2p0/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,max_length,64,64,64,128,100,3,3e-05,0.3,1.0,1.0,0.1,0.05,1,42,0.9873,0.0000,0.9880,0.0000,0.9584,0.0000,0.9754,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/max_length_64/seed_42/best_bert_bert-large-uncased.pt
bert-large,bert,bert-large-uncased,max_length,128,128,64,128,100,3,3e-05,0.3,1.0,1.0,0.1,0.05,1,42,0.9873,0.0000,0.9880,0.0000,0.9584,0.0000,0.9754,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/bert-large/max_length_128/seed_42/best_bert_bert-large-uncased.pt
